95125,$3900,/ 3br - 1500ft
94043,$3500,/ 2br - 1050ft
94104,$2045, 
94102,$2445,/ 1br - 
94043,$3000,/ 1br - 980ft
94025,$1200,/ 3br - 1350ft
94070,$1050,/ 1br - 1000ft
94102,$1995, 
95136,$3100,/ 3br - 1700ft
94062,$11750,/ 4br - 3380ft
94110,$4000,/ 1br - 700ft
94110,$4000,/ 1br - 700ft
94043,$4800,/ 3br - 1350ft
94087,$4199,/ 4br - 1534ft
94087,$4199,/ 4br - 1534ft
94583,$4500,/ 5br - 3100ft
94121,$3400,/ 2br - 
94301,$8900,/ 3br - 1968ft
94301,$8900,/ 3br - 1968ft
94105,$17000,/ 8br - 3000ft
94403,$2650,/ 1br - 710ft
94515,$3600,/ 2br - 1250ft
94133,$4700,/ 2br - 
94133,$4700,/ 2br - 
94104,$2275, 
94104,$2275, 
95127,$2500,/ 3br - 1150ft
94607,$1950,/ 2br - 1132ft
94121,$2800,/ 1br - 
95032,$4500,/ 3br - 1604ft
94550,$2400,/ 3br - 1100ft
95054,$4295,/ 3br - 1700ft
94303,$1575, 
94903,$4300,/ 3br - 2000ft
95035,$4200,/ 4br - 2000ft
94062,$2700,/ 1br - 800ft
94611,$1895, 
94611,$1895, 
94611,$1895, 
95391,$2500,/ 5br - 2448ft
95391,$2500,/ 5br - 2448ft
94010,$1950,/ 650ft
94109,$2495,/ 1br - 450ft
94109,$3000,/ 1br - 708ft
95134,$3240,/ 2br - 1064ft
94041,$1995, 
94122,$3800,/ 3br - 
94577,$500,/ 1br - 
94803,$2100,/ 3br - 858ft
94536,$3600, 
95117,$2624,/ 2br - 809ft
94301,$2995,/ 1br - 
94109,$2250,/ 500ft
95035,$2783,/ 2br - 1013ft
94066,$3302,/ 1br - 850ft
94551,$1997,/ 2br - 750ft
94030,$2575,/ 1br - 735ft
94115,$1895, 
95035,$2668,/ 2br - 940ft
94040,$4650,/ 2br - 1126ft
94040,$4650,/ 2br - 1126ft
94561,$1200,/ 2br - 700ft
94109,$2250,/ 1br - 500ft
94536,$2876,/ 2br - 870ft
94116,$5200,/ 3br - 
94607,$2966,/ 1br - 714ft
95035,$3780,/ 3br - 1630ft
94102,$3827,/ 1br - 822ft
95035,$3075,/ 3br - 1303ft
94040,$3670,/ 1br - 795ft
94102,$5250,/ 2br - 988ft
94002,$2145,/ 500ft
94023,$3545,/ 1br - 795ft
94023,$3545,/ 1br - 795ft
95112,$14, 
95112,$14, 
94587,$1831,/ 510ft
94080,$3227,/ 1br - 1112ft
95111,$1750,/ 2br - 810ft
94030,$3500,/ 3br - 1500ft
94086,$1650,/ 1br - 500ft
95111,$2125,/ 2br - 838ft
95134,$3155,/ 2br - 1185ft
94804,$967,/ 3br - 
95035,$3600, 
95129,$2069,/ 1br - 
95129,$1785, 
94080,$3615,/ 2br - 1054ft
95126,$2634,/ 1br - 861ft
94546,$2600,/ 3br - 1102ft
94704,$1750,/ 430ft
94123,$2600, 
95117,$1845,/ 405ft
95124,$4995,/ 3br - 1600ft
94080,$3509,/ 2br - 1103ft
94109,$2095, 
95129,$2139,/ 1br - 
94080,$3906,/ 2br - 1266ft
95409,$2633,/ 2br - 1042ft
94558,$1325,/ 1br - 
94704,$2600,/ 2br - 800ft
94580,$1795,/ 1br - 725ft
95008,$2155,/ 1br - 750ft
94404,$3500,/ 2br - 1500ft
94559,$1095,/ 1br - 
95134,$2755,/ 1br - 973ft
